Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,54,4,Some Random Commen with Id 0
1,1,3,51,4,Some Random Commen with Id 1
2,1,3,160,6,Some Random Commen with Id 2
3,1,3,91,3,Some Random Commen with Id 3
4,1,3,84,8,Some Random Commen with Id 4
5,3,9,187,6,Some Random Commen with Id 5
6,3,9,109,1,Some Random Commen with Id 6
7,4,4,92,1,Some Random Commen with Id 7
8,4,4,40,4,Some Random Commen with Id 8
9,5,1,22,3,Some Random Commen with Id 9
10,6,8,78,6,Some Random Commen with Id 10
11,6,8,77,1,Some Random Commen with Id 11
12,7,4,29,3,Some Random Commen with Id 12
13,7,4,23,0,Some Random Commen with Id 13
14,7,4,176,3,Some Random Commen with Id 14
15,7,4,4,8,Some Random Commen with Id 15
16,7,4,2,6,Some Random Commen with Id 16
17,7,4,29,3,Some Random Commen with Id 17
18,7,4,172,5,Some Random Commen with Id 18
19,7,4,21,1,Some Random Commen with Id 19
20,7,4,40,6,Some Random Commen with Id 20
21,8,0,121,7,Some Random Commen with Id 21
22,8,0,198,6,Some Random Commen with Id 22
23,8,0,151,1,Some Random Commen with Id 23
24,8,0,67,0,Some Random Commen with Id 24
25,10,1,114,1,Some Random Commen with Id 25
26,10,1,19,4,Some Random Commen with Id 26
27,10,1,116,3,Some Random Commen with Id 27
28,10,1,75,9,Some Random Commen with Id 28
29,10,1,124,6,Some Random Commen with Id 29
30,11,9,132,7,Some Random Commen with Id 30
31,12,7,86,6,Some Random Commen with Id 31
32,12,7,192,7,Some Random Commen with Id 32
33,12,7,158,7,Some Random Commen with Id 33
34,12,7,187,0,Some Random Commen with Id 34
35,12,7,79,3,Some Random Commen with Id 35
36,12,7,186,4,Some Random Commen with Id 36
37,12,7,101,6,Some Random Commen with Id 37
38,13,2,162,0,Some Random Commen with Id 38
39,13,2,113,6,Some Random Commen with Id 39
40,13,2,52,1,Some Random Commen with Id 40
41,13,2,40,3,Some Random Commen with Id 41
42,15,5,8,5,Some Random Commen with Id 42
43,15,5,148,3,Some Random Commen with Id 43
44,16,5,150,1,Some Random Commen with Id 44
45,16,5,186,3,Some Random Commen with Id 45
46,16,5,58,9,Some Random Commen with Id 46
47,16,5,5,8,Some Random Commen with Id 47
48,16,5,199,2,Some Random Commen with Id 48
49,16,5,42,9,Some Random Commen with Id 49
50,16,5,164,9,Some Random Commen with Id 50
51,16,5,178,3,Some Random Commen with Id 51
52,17,6,100,6,Some Random Commen with Id 52
53,20,4,22,8,Some Random Commen with Id 53
54,20,4,73,4,Some Random Commen with Id 54
55,20,4,158,0,Some Random Commen with Id 55
56,20,4,68,6,Some Random Commen with Id 56
57,20,4,88,8,Some Random Commen with Id 57
58,21,1,118,4,Some Random Commen with Id 58
59,21,1,6,3,Some Random Commen with Id 59
60,21,1,146,7,Some Random Commen with Id 60
61,21,1,123,7,Some Random Commen with Id 61
62,21,1,173,0,Some Random Commen with Id 62
63,22,4,80,4,Some Random Commen with Id 63
64,22,4,97,2,Some Random Commen with Id 64
65,24,3,105,4,Some Random Commen with Id 65
66,24,3,37,4,Some Random Commen with Id 66
67,24,3,49,6,Some Random Commen with Id 67
68,24,3,86,6,Some Random Commen with Id 68
69,24,3,195,3,Some Random Commen with Id 69
70,24,3,27,8,Some Random Commen with Id 70
71,24,3,198,4,Some Random Commen with Id 71
72,24,3,58,0,Some Random Commen with Id 72
73,25,1,149,4,Some Random Commen with Id 73
74,26,2,149,0,Some Random Commen with Id 74
75,26,2,101,6,Some Random Commen with Id 75
76,26,2,100,7,Some Random Commen with Id 76
77,27,8,52,6,Some Random Commen with Id 77
78,27,8,141,2,Some Random Commen with Id 78
79,27,8,14,3,Some Random Commen with Id 79
80,27,8,109,2,Some Random Commen with Id 80
81,28,8,113,8,Some Random Commen with Id 81
82,28,8,117,3,Some Random Commen with Id 82
83,28,8,168,8,Some Random Commen with Id 83
84,28,8,193,5,Some Random Commen with Id 84
85,28,8,67,0,Some Random Commen with Id 85
86,28,8,198,5,Some Random Commen with Id 86
87,29,4,14,8,Some Random Commen with Id 87
88,29,4,109,1,Some Random Commen with Id 88
89,29,4,86,3,Some Random Commen with Id 89
90,30,7,57,9,Some Random Commen with Id 90
91,30,7,6,4,Some Random Commen with Id 91
92,30,7,119,2,Some Random Commen with Id 92
93,32,8,181,5,Some Random Commen with Id 93
94,32,8,121,8,Some Random Commen with Id 94
95,32,8,168,9,Some Random Commen with Id 95
96,32,8,61,0,Some Random Commen with Id 96
97,32,8,91,4,Some Random Commen with Id 97
98,32,8,56,1,Some Random Commen with Id 98
99,33,2,198,4,Some Random Commen with Id 99
100,33,2,173,0,Some Random Commen with Id 100
101,34,8,92,5,Some Random Commen with Id 101
102,34,8,141,3,Some Random Commen with Id 102
103,34,8,72,1,Some Random Commen with Id 103
104,34,8,60,2,Some Random Commen with Id 104
105,34,8,34,1,Some Random Commen with Id 105
106,34,8,59,0,Some Random Commen with Id 106
107,34,8,107,7,Some Random Commen with Id 107
108,35,2,44,3,Some Random Commen with Id 108
109,35,2,3,9,Some Random Commen with Id 109
110,35,2,15,2,Some Random Commen with Id 110
111,35,2,81,4,Some Random Commen with Id 111
112,35,2,141,6,Some Random Commen with Id 112
113,36,1,34,6,Some Random Commen with Id 113
114,36,1,185,9,Some Random Commen with Id 114
115,37,2,46,7,Some Random Commen with Id 115
116,37,2,111,4,Some Random Commen with Id 116
117,38,9,26,9,Some Random Commen with Id 117
118,38,9,81,7,Some Random Commen with Id 118
119,38,9,110,8,Some Random Commen with Id 119
120,38,9,180,9,Some Random Commen with Id 120
121,39,3,78,4,Some Random Commen with Id 121
122,39,3,130,1,Some Random Commen with Id 122
